DEPT_CODE,DEPT_NAME,YYYY,GDP(Bill)(COP),GDP(COP),SECTOR,SECTOR_ID
73,TOLIMA,2007,1921,1.921E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2008,1987,1.987E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2009,2090,2.09E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2010,2219,2.219E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2011,2355,2.355E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2012,2470,2.47E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2013,2699,2.699E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2014,2900,2.9E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2015,3145,3.145E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2016p,3402,3.402E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2000,4245,4.245E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2001,4659,4.659E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2002,4911,4.911E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2003,5364,5.364E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2004,5941,5.941E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2005,6551,6.551E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2006,7552,7.552E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2007,8637,8.637E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2008,9033,9.033E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
76,VALLE DEL CAUCA,2009,9388,9.388E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
